일시,월별,연별,사이트,제목,내용,분류,판단이유
20101103,201011,2010,다음아고라,"(교육토론방)
G20개회 당일 금속노조 총파업 철없다(펌)","주요 20개국(G20) 정상회의가 열리는 오는 11일 민주노총 산하 금속노조가 총파업에 돌입한다는 소식이다. 금속노조는 경북 구미에 있는 KEC지부 김준일 지부장의 분신을 일으킨 경찰의 과잉 진압을 규탄하고 KEC노조의 농성을 지원하고자 총파업을 벌이기로 했다고 그제 밝혔다. 김지부장은 지난달 30일 KEC의 노사협상이 결렬된 뒤 체포영장을 집행하려는 경찰을 피해 분신을 기도, 치료를 받고 있다. 금속노조는 민주노총 전국 노동자 대회가 열리는 7일에 총파업 출정식을 한다고 한다. 한마디로 어안이 벙벙하다. 민주노총과 금속노조가 이번 분신사건을 시들해진 투쟁강도를 높이는 도화선으로 삼으려 한다는 분석도 있지만, 개별회사의 노사분쟁을 국가대사인 G20 정상회의와 연계시키는 투쟁방식에는 국민 누구도 공감하지 않을 것이다. 한국무역협회 좌에 다르면 이번 G20 정상회의는 31조원의 경제효과를 가져다 줄뿐더러 16만여명의 취업유발 효과도 기대된다. 백보 양보해도 KEC문제가 청년 16만명의 일자리보다 더 시급하진 않을 것이다. 더욱 우려스러운 것은 이 같은 섣부른 행동이 G20에 반대하는 단골 외국시위대에 이용당할 수 있다는 점이다. 국제 노동단체들은 G20이 금융투기자본을 보호하고 신자유주의 구조조정 프로그램을 강제한다면서 해마다 회의 개최 도시를 찾아다니면서 격렬한 폭력시위를 일삼고 있다. 지난해 4월 런던회의 때는 인명피해가 발생했고, 올 6월 토론토 회의 때도 은행과 상점을 공격해 흠집을 남겼다. 아쉽게도 민주노총은 이들 국제 단체와 연대, 지난달 30일부터 오는 12일까지를 G20 투쟁기간으로 선포했다. 민주노총과 금속노조는 국제 시위꾼들의 들러리가 돼 역사적인 G20 서울정상회의를 불상사로 얼룩지게 해선 안 된다. 책임 있는 노동단체로서의 자세를 촉구한다.",G20,G20-이명박대통령 지지
20101103,201011,2010,다음아고라,"(사회토론방)
G20개회 당일 금속노조 총파업 철없다(펌)","주요 20개국(G20) 정상회의가 열리는 오는 11일 민주노총 산하 금속노조가 총파업에 돌입한다는 소식이다. 금속노조는 경북 구미에 있는 KEC지부 김준일 지부장의 분신을 일으킨 경찰의 과잉 진압을 규탄하고 KEC노조의 농성을 지원하고자 총파업을 벌이기로 했다고 그제 밝혔다. 김지부장은 지난달 30일 KEC의 노사협상이 결렬된 뒤 체포영장을 집행하려는 경찰을 피해 분신을 기도, 치료를 받고 있다. 금속노조는 민주노총 전국 노동자 대회가 열리는 7일에 총파업 출정식을 한다고 한다. 한마디로 어안이 벙벙하다. 민주노총과 금속노조가 이번 분신사건을 시들해진 투쟁강도를 높이는 도화선으로 삼으려 한다는 분석도 있지만, 개별회사의 노사분쟁을 국가대사인 G20 정상회의와 연계시키는 투쟁방식에는 국민 누구도 공감하지 않을 것이다. 한국무역협회 좌에 다르면 이번 G20 정상회의는 31조원의 경제효과를 가져다 줄뿐더러 16만여명의 취업유발 효과도 기대된다. 백보 양보해도 KEC문제가 청년 16만명의 일자리보다 더 시급하진 않을 것이다. 더욱 우려스러운 것은 이 같은 섣부른 행동이 G20에 반대하는 단골 외국시위대에 이용당할 수 있다는 점이다. 국제 노동단체들은 G20이 금융투기자본을 보호하고 신자유주의 구조조정 프로그램을 강제한다면서 해마다 회의 개최 도시를 찾아다니면서 격렬한 폭력시위를 일삼고 있다. 지난해 4월 런던회의 때는 인명피해가 발생했고, 올 6월 토론토 회의 때도 은행과 상점을 공격해 흠집을 남겼다. 아쉽게도 민주노총은 이들 국제 단체와 연대, 지난달 30일부터 오는 12일까지를 G20 투쟁기간으로 선포했다. 민주노총과 금속노조는 국제 시위꾼들의 들러리가 돼 역사적인 G20 서울정상회의를 불상사로 얼룩지게 해선 안 된다. 책임 있는 노동단체로서의 자세를 촉구한다.",G20,G20-이명박대통령 지지
20091108,200911,2009,다음아고라,(자유토론방) 내년 G20은 한미동맹강화를 위한 절호의 기회,"내년 G20은 한미동맹 강화를 위한 절호의 기회 삐노끼오(leese****) 내년에 우리나라가 유치하게 된 G20정상회의는 한미동맹관계를 더욱 강화할 수 있는 '한 세대에 한 번 있을까말까한 절호의 기회'라는 분석이 나왔다.미국 싱크탱크인국제전략문제연구소는 지난 5일 보고서를 통해 이같이 밝히고특히 G20회의를 한미최대현안인 자유무역협정을 최종타결하는 기회로 삼아야한다고 주장하며 한국이 G20정상회의를 유치한 것은 이명박 대통령의 '글로벌코리아'비전을 성취할 수 있는 유례없는 기회라고 평가했다. 보고서는 ""한국과미국 두 나라는 아시아부상, 대량살상무기(WMD)확산, 국제경제협력등 갈수록중요해지는 현안과 관련해 중심에 있다""며 이러한 현안들에 대한 양국간 협력은 21세기의 진정한 전략적 동맹을 만드는 토대가 될 것이라고 전망했다. 하지만 G20정상회의 기회를 제대로 활용하지 못하고 한미 FTA최종타결에 실패하면미국은 동맹관계와 리더십에서 크게 후퇴하는 위험에 직면하게 될 것이라고보고서는 경고했다. 보고서는 한미 FTA가 주춤거리는 사이 한국과 EU가 FTA를 체결한 것은 앞으로 세계 국가들간에 경쟁이 얼마나 치열해질지를 여실히보여주는 것이라며 한 EU FTA체결이 미치는 영향에도 비상한 관심을 보였다.",G20,G20-이명박대통령지지
20101022,201010,2010,다음아고라,"(경제토론방) 李대통령""G20개발,금융안전망강화합의해야""","이명박 대통령은 22일 다음달 서울에서 열리는 G20(주요20개국) 정상회의 의제와 관련해 ""개발 의제와 글로벌 금융 안전망 강화에 관한 구체적 합의를 도출해야한다""고 말했다. 이 대통령은 이날 오후 경주 힐튼호텔에서 열린 G20 재무장관, 중앙은행 총재 회의에 참석, 환영 연설을 통해 이같이 밝혔다. 이 대통령은 서울 G20정상회의에서 새롭게 채택된 개발 의제에 대해 ""선진국과 신흥국 개발 도상국간 균형 성장의 문제가 반드시 이뤄져야한다는 게 있지만, 세계 경제 회복과 균형 성장을 위해 새로운 수요 창출하는 것""이라고 강조했다. 이어 ""그래서 개발 문제는 후진국, 개발도상국을 위해서만이 아니라 세계 경제의 지속성장을 위해서도 중요하다""고 덧붙였다. 이 대통령은 또 ""제1단계 금융안전망 강화는 여러분들과 IMF(국제통화기금)가 협조해서 합의가 이뤄졌다. 제2단계 강화 방안도 여러분들간 충분히 합의가 돼서 합의를 이룰 수 있기를 기대한다""고 말했다. 이 대통령은 지난 토론토 G20 정상회의에서 다음달가지 완료키로 한 IMF 쿼터 조정을 언급, ""IMF 쿼터 조정이 약속한 기한까지 이뤄져야한다""고 강조했다.",G20,G20-이명박대통령지지
20101109,201011,2010,다음아고라,(문화연예토론방) G20 정상회의로 나라의 격을 높이자! (펌),G20정상회의로 나라의 격을 높이자! (펌) 삐노끼오(leese****) 10.11.09 20:46 G20정상회의로 나라의 격을 높이자!G20 정상회의는 유엔에 가입한 192개국중경제적으로 영향력 있는 20개 나라 정상들의 모임이다 'G'는 그룹(Group)의 약자로 '모임'을 뜻한다. G20 회원국은 미국일본·영국·프랑스·독일·이탈리아·캐나다 등 기존 G7 회원국과 한국·러시아·중국·인도·인도네시아·아르헨티나·브라질·멕시코·호주·남아프리카 공화국·사우,G20,G20-이명박대통령지지
20101109,201011,2010,다음아고라,(사회토론방) G20 정상회의로 나라의 격을 높이자! (펌),G20정상회의로 나라의 격을 높이자! (펌) 삐노끼오(leese****) 10.11.09 20:46 G20정상회의로 나라의 격을 높이자!G20 정상회의는 유엔에 가입한 192개국중경제적으로 영향력 있는 20개 나라 정상들의 모임이다 'G'는 그룹(Group)의 약자로 '모임'을 뜻한다. G20 회원국은 미국일본·영국·프랑스·독일·이탈리아·캐나다 등 기존 G7 회원국과 한국·러시아·중국·인도·인도네시아·아르헨티나·브라질·멕시코·호주·남아프리카 공화국·사우,G20,G20-이명박대통령지지
20101109,201011,2010,다음아고라,(경제토론방) G20 정상회의로 나라의 격을 높이자! (펌),G20정상회의로 나라의 격을 높이자! (펌) 삐노끼오(leese****) 10.11.09 20:46 G20정상회의로 나라의 격을 높이자!G20 정상회의는 유엔에 가입한 192개국중경제적으로 영향력 있는 20개 나라 정상들의 모임이다 'G'는 그룹(Group)의 약자로 '모임'을 뜻한다. G20 회원국은 미국일본·영국·프랑스·독일·이탈리아·캐나다 등 기존 G7 회원국과 한국·러시아·중국·인도·인도네시아·아르헨티나·브라질·멕시코·호주·남아프리카 공화국·사우,G20,G20-이명박대통령지지
20101109,201011,2010,다음아고라,(정치토론방) G20 정상회의로 나라의 격을 높이자! (펌),G20정상회의로 나라의 격을 높이자! (펌) 삐노끼오(leese****) 10.11.09 20:46 G20정상회의로 나라의 격을 높이자!G20 정상회의는 유엔에 가입한 192개국중경제적으로 영향력 있는 20개 나라 정상들의 모임이다 'G'는 그룹(Group)의 약자로 '모임'을 뜻한다. G20 회원국은 미국일본·영국·프랑스·독일·이탈리아·캐나다 등 기존 G7 회원국과 한국·러시아·중국·인도·인도네시아·아르헨티나·브라질·멕시코·호주·남아프리카 공화국·사우,G20,G20-이명박대통령지지
20101109,201011,2010,다음아고라,(자유토론방) G20 정상회의로 나라의 격을 높이자! (펌),G20정상회의로 나라의 격을 높이자! (펌) 삐노끼오(leese****) 10.11.09 20:46 G20정상회의로 나라의 격을 높이자!G20 정상회의는 유엔에 가입한 192개국중경제적으로 영향력 있는 20개 나라 정상들의 모임이다 'G'는 그룹(Group)의 약자로 '모임'을 뜻한다. G20 회원국은 미국일본·영국·프랑스·독일·이탈리아·캐나다 등 기존 G7 회원국과 한국·러시아·중국·인도·인도네시아·아르헨티나·브라질·멕시코·호주·남아프리카 공화국·사우,G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,"(자유토론방) G20정상회의, 서울선언 대타협을 기대한다 (펌)",G20정상회의. 서울선언 대타협을 기대한다 (펌)[1] 삐노끼오(leese****) 10.11.11 18:10 주요 20개국(G20) 서울 정상회의가 오늘 저녁 환영 리셉션을 시작으로 이틀 동안 숨가쁘게 진행된다. 글로벌 금융위기 이후 세계 경제의 큰 흐름을 바꿔 놓을 이번 회의는 각국의 이해관계가 날카롭게 부딪치는 격전장이다. 세계 경제의 불균형 문제에 대한 해법을 놓고 흑자국과 적자국이 정면 대립하는 것을 비롯해 사안마다 편이 갈리고 있다. 한국은 ,G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,"(정치토론방) G20정상회의, 서울선언 대타협을 기대한다 (펌)",G20정상회의. 서울선언 대타협을 기대한다 (펌)[1] 삐노끼오(leese****) 10.11.11 18:10 주요 20개국(G20) 서울 정상회의가 오늘 저녁 환영 리셉션을 시작으로 이틀 동안 숨가쁘게 진행된다. 글로벌 금융위기 이후 세계 경제의 큰 흐름을 바꿔 놓을 이번 회의는 각국의 이해관계가 날카롭게 부딪치는 격전장이다. 세계 경제의 불균형 문제에 대한 해법을 놓고 흑자국과 적자국이 정면 대립하는 것을 비롯해 사안마다 편이 갈리고 있다. 한국은 ,G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,(문화연예토론방) 대한민국의 국격향상을 생각한다 (펌),"대한민국의 국격향상을 생각한다 (펌) 삐노끼오(leese(****) 10.11.11 18:13 서울 G20(주요 20개국) 정상회의가 오늘 막을 올린다. 우리나라가 의장국으로 중심 역할을 하는 보기 드문 큰 국제행사다. 우리나라의 국제적 위상을 한 단계 끌어올리는 계기이기도 하다. AFP통신은 ""전쟁의 폐허를 딛고 경제기적과 민주주의를 이룩한 나라 한국에 이번 정상회의는 성인식으로 받아들여지고 있다""고 평했다. 원조로 연명한 최빈국이 국제무대의 중심에 ",G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,(사회토론방) 대한민국의 국격향상을 생각한다 (펌),"대한민국의 국격향상을 생각한다 (펌) 삐노끼오(leese(****) 10.11.11 18:13 서울 G20(주요 20개국) 정상회의가 오늘 막을 올린다. 우리나라가 의장국으로 중심 역할을 하는 보기 드문 큰 국제행사다. 우리나라의 국제적 위상을 한 단계 끌어올리는 계기이기도 하다. AFP통신은 ""전쟁의 폐허를 딛고 경제기적과 민주주의를 이룩한 나라 한국에 이번 정상회의는 성인식으로 받아들여지고 있다""고 평했다. 원조로 연명한 최빈국이 국제무대의 중심에 ",G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,(경제토론방) 대한민국의 국격향상을 생각한다 (펌),"대한민국의 국격향상을 생각한다 (펌) 삐노끼오(leese(****) 10.11.11 18:13 서울 G20(주요 20개국) 정상회의가 오늘 막을 올린다. 우리나라가 의장국으로 중심 역할을 하는 보기 드문 큰 국제행사다. 우리나라의 국제적 위상을 한 단계 끌어올리는 계기이기도 하다. AFP통신은 ""전쟁의 폐허를 딛고 경제기적과 민주주의를 이룩한 나라 한국에 이번 정상회의는 성인식으로 받아들여지고 있다""고 평했다. 원조로 연명한 최빈국이 국제무대의 중심에 ",G20,G20-이명박대통령지지
20101111,201011,2010,다음아고라,(정치토론방) 대한민국의 국격향상을 생각한다 (펌),"대한민국의 국격향상을 생각한다 (펌) 삐노끼오(leese(****) 10.11.11 18:13 서울 G20(주요 20개국) 정상회의가 오늘 막을 올린다. 우리나라가 의장국으로 중심 역할을 하는 보기 드문 큰 국제행사다. 우리나라의 국제적 위상을 한 단계 끌어올리는 계기이기도 하다. AFP통신은 ""전쟁의 폐허를 딛고 경제기적과 민주주의를 이룩한 나라 한국에 이번 정상회의는 성인식으로 받아들여지고 있다""고 평했다. 원조로 연명한 최빈국이 국제무대의 중심에 ",G20,G20-이명박대통령지지
20101112,201011,2010,다음아고라,"(자유토론방) MB와 오바마, FTA 타결-발효까지 리더십 발휘해야 (펌)","MB와 오바마 FTA 타결-발효까지 리더십 발휘해야 (펌)[1] 삐노끼오(leese****) 10.11.12 18:02 한미 자유무역협정(FTA) 추가 협상이 쇠고기 문제로 합의를 보지 못했다. 한미 양국은 어제 정상회담에서 협상 타결을 공식 발표하려던 계획인 무산됨에 따라 주요 20개국(G20) 서울 정상회의 이후에 계속 논의키로 했다. 버락 오바마 미국 대통령은 어제 이명박 대통령과 정상회담을 가진 뒤 ""며칠 또는 몇 주 동안 노력해서 타결하도록 지",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(자유토론방) '서울선언' 글로벌공조 초석되기를 (펌),"서울선언' 글로벌공조 초석되기를 (펌)

삐노끼오(leese****)

주소복사 조회 3 10.11.13 19:24

즐겨찾기

마이피플트위터페이스북더보기

지난 이틀간 세계는 서울을 주목했다. 주요 20개국(G20) 정상들이 글로벌 금융 위기 이후 새로운 세계경제 질서 구축을 위해 지난 2년 동안 4번에 걸친 정상 회의를 통해 논의해 온 의제를 서울 정상회의에서 일부 매듭짓고 추가 논의가 필요한 분야에 대해서는 차기 회의로 연계·성숙시켰기 때문이다. ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(정치토론방) '서울선언' 글로벌공조 초석되기를 (펌),"지난 이틀간 세계는 서울을 주목했다. 주요 20개국(G20) 정상들이 글로벌 금융 위기 이후 새로운 세계경제 질서 구축을 위해 지난 2년 동안 4번에 걸친 정상 회의를 통해 논의해 온 의제를 서울 정상회의에서 일부 매듭짓고 추가 논의가 필요한 분야에 대해서는 차기 회의로 연계·성숙시켰기 때문이다. 

G20은 세계의 관심에 화답하듯 12일 오후 '서울선언'을 발표했다. 서울선언은 환율 문제에 대해서는 '시장결정적 환율제도로의 이행'과 경상수지가이드라인 ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(경제토론방) '서울선언' 글로벌공조 초석되기를 (펌),"지난 이틀간 세계는 서울을 주목했다. 주요 20개국(G20) 정상들이 글로벌 금융 위기 이후 새로운 세계경제 질서 구축을 위해 지난 2년 동안 4번에 걸친 정상 회의를 통해 논의해 온 의제를 서울 정상회의에서 일부 매듭짓고 추가 논의가 필요한 분야에 대해서는 차기 회의로 연계·성숙시켰기 때문이다. 

G20은 세계의 관심에 화답하듯 12일 오후 '서울선언'을 발표했다. 서울선언은 환율 문제에 대해서는 '시장결정적 환율제도로의 이행'과 경상수지가이드라인 ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(사회토론방) '서울선언' 글로벌공조 초석되기를 (펌),"지난 이틀간 세계는 서울을 주목했다. 주요 20개국(G20) 정상들이 글로벌 금융 위기 이후 새로운 세계경제 질서 구축을 위해 지난 2년 동안 4번에 걸친 정상 회의를 통해 논의해 온 의제를 서울 정상회의에서 일부 매듭짓고 추가 논의가 필요한 분야에 대해서는 차기 회의로 연계·성숙시켰기 때문이다. 

G20은 세계의 관심에 화답하듯 12일 오후 '서울선언'을 발표했다. 서울선언은 환율 문제에 대해서는 '시장결정적 환율제도로의 이행'과 경상수지가이드라인 ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(문화연예토론방) '서울선언' 글로벌공조 초석되기를 (펌),"지난 이틀간 세계는 서울을 주목했다. 주요 20개국(G20) 정상들이 글로벌 금융 위기 이후 새로운 세계경제 질서 구축을 위해 지난 2년 동안 4번에 걸친 정상 회의를 통해 논의해 온 의제를 서울 정상회의에서 일부 매듭짓고 추가 논의가 필요한 분야에 대해서는 차기 회의로 연계·성숙시켰기 때문이다. 

G20은 세계의 관심에 화답하듯 12일 오후 '서울선언'을 발표했다. 서울선언은 환율 문제에 대해서는 '시장결정적 환율제도로의 이행'과 경상수지가이드라인 ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(문화연예토론방) 세계 경제질서와 규범 새로 쓴 서울선언 (펌),"세계 경제질서와 규범 새로 쓴 서울선언 (펌) 삐노끼오(leese****) 10.11.13 19:26 서울 G20(주요 20개국) 정상회의가 강하고 지속 가능한 균형성장을 위한 국제공조 필요성과 각국의 책임을 확인하는 '서울선언'을 채택하고 막을 내렸다. 글로벌 무역불균형에 따른 환율갈등으로 막판까지도 결과를 점치기 어려웠지만, 세계 경제 최상위 협의체로서의 위상과 동력을 이어가야 한다는 당위성 앞에 각국 정상들이 이견을 좁히며 조금씩 양보한 결과다. ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(경제토론방) 세계 경제질서와 규범 새로 쓴 서울선언 (펌),"세계 경제질서와 규범 새로 쓴 서울선언 (펌) 삐노끼오(leese****) 10.11.13 19:26 서울 G20(주요 20개국) 정상회의가 강하고 지속 가능한 균형성장을 위한 국제공조 필요성과 각국의 책임을 확인하는 '서울선언'을 채택하고 막을 내렸다. 글로벌 무역불균형에 따른 환율갈등으로 막판까지도 결과를 점치기 어려웠지만, 세계 경제 최상위 협의체로서의 위상과 동력을 이어가야 한다는 당위성 앞에 각국 정상들이 이견을 좁히며 조금씩 양보한 결과다. ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(사회토론방) 세계 경제질서와 규범 새로 쓴 서울선언 (펌),"세계 경제질서와 규범 새로 쓴 서울선언 (펌) 삐노끼오(leese****) 10.11.13 19:26 서울 G20(주요 20개국) 정상회의가 강하고 지속 가능한 균형성장을 위한 국제공조 필요성과 각국의 책임을 확인하는 '서울선언'을 채택하고 막을 내렸다. 글로벌 무역불균형에 따른 환율갈등으로 막판까지도 결과를 점치기 어려웠지만, 세계 경제 최상위 협의체로서의 위상과 동력을 이어가야 한다는 당위성 앞에 각국 정상들이 이견을 좁히며 조금씩 양보한 결과다. ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(정치토론방) 세계 경제질서와 규범 새로 쓴 서울선언 (펌),"세계 경제질서와 규범 새로 쓴 서울선언 (펌) 삐노끼오(leese****) 10.11.13 19:26 서울 G20(주요 20개국) 정상회의가 강하고 지속 가능한 균형성장을 위한 국제공조 필요성과 각국의 책임을 확인하는 '서울선언'을 채택하고 막을 내렸다. 글로벌 무역불균형에 따른 환율갈등으로 막판까지도 결과를 점치기 어려웠지만, 세계 경제 최상위 협의체로서의 위상과 동력을 이어가야 한다는 당위성 앞에 각국 정상들이 이견을 좁히며 조금씩 양보한 결과다. ",G20,G20-이명박대통령지지
20101113,201011,2010,다음아고라,(자유토론방) 세계 경제질서와 규범 새로 쓴 서울선언 (펌),"세계 경제질서와 규범 새로 쓴 서울선언 (펌) 삐노끼오(leese****) 10.11.13 19:26 서울 G20(주요 20개국) 정상회의가 강하고 지속 가능한 균형성장을 위한 국제공조 필요성과 각국의 책임을 확인하는 '서울선언'을 채택하고 막을 내렸다. 글로벌 무역불균형에 따른 환율갈등으로 막판까지도 결과를 점치기 어려웠지만, 세계 경제 최상위 협의체로서의 위상과 동력을 이어가야 한다는 당위성 앞에 각국 정상들이 이견을 좁히며 조금씩 양보한 결과다. ",G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(자유토론방) G20 서울정상회의 준비했던 한국의 노력에 찬사와 박수를 받아야,G20 서울정상회의 준비했던 한국의 노력에 찬사와 박수를 받아야 삐노끼오(leese****) 10.11.15 12:16 마크스 놀랜드 미국 피터슨경제연구소(PIEE) 부소장 겸 선임연구원은 12일 서울에서 열린 G20(주요 20개국) 정상회의 준비를 위한 한국의 노력에 찬사를 보내야 한다면서도 이번 회의를 통해 나온 결과물에 대해서는 실망스럽다는 평가를 내놓았다. 놀랜드 부소장은 이날 연합뉴스와의 인터뷰에서 한국인 정상회의 준비에 막대한 자원을 투입해 ,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(정치토론방) G20 서울정상회의 준비했던 한국의 노력에 찬사와 박수를 받아야,G20 서울정상회의 준비했던 한국의 노력에 찬사와 박수를 받아야 삐노끼오(leese****) 10.11.15 12:16 마크스 놀랜드 미국 피터슨경제연구소(PIEE) 부소장 겸 선임연구원은 12일 서울에서 열린 G20(주요 20개국) 정상회의 준비를 위한 한국의 노력에 찬사를 보내야 한다면서도 이번 회의를 통해 나온 결과물에 대해서는 실망스럽다는 평가를 내놓았다. 놀랜드 부소장은 이날 연합뉴스와의 인터뷰에서 한국인 정상회의 준비에 막대한 자원을 투입해 ,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,"(사회토론방) 李대통령 ""G20-APEC, 전략적 연계 가능"" (펌)","李대통령  ""G20-APEC, 전략적 연계 가능"" (펌) 삐노끼오(leese****) 10.11.15 12:19 APEC 서밋 1차 세션서 서울 G20 합의사항 지지 당부 일본 요코하마를 방문 중인 이명박 대통령은 13일 ""APEC(아태경제협력체)의 신성장 전략과 G23(주요 20개국)의 강하고 지속가능한 균형 성장 정책은 서로 유사점이 많아서 앞으로 함께 전략적 연계를 할 수 있을 것""이라고 말했다. 이 대통령은 이날 오후 요코하마 인터컨티넨털호텔에서",G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,"(교육토론방) 李대통령 ""G20-APEC, 전략적 연계 가능"" (펌)","李대통령  ""G20-APEC, 전략적 연계 가능"" (펌) 삐노끼오(leese****) 10.11.15 12:19 APEC 서밋 1차 세션서 서울 G20 합의사항 지지 당부 일본 요코하마를 방문 중인 이명박 대통령은 13일 ""APEC(아태경제협력체)의 신성장 전략과 G23(주요 20개국)의 강하고 지속가능한 균형 성장 정책은 서로 유사점이 많아서 앞으로 함께 전략적 연계를 할 수 있을 것""이라고 말했다. 이 대통령은 이날 오후 요코하마 인터컨티넨털호텔에서",G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(자유토론방) 서울정상회의 한걸음 더 나간 합의(펌),"서울정상회의한걸음더나간합의(펌)삐노끼오(leese****)10.11.1512:20 이명박 대통령은 11일 ""서울 주요 20개국(G20) 정상회의에서 국제 공조를    위해 한 걸음 더 나간 구체적인 계획과 합의를 이끌자""고 말했다. 이 대통령은 이날 용산 국립중앙박물관에서 열린 G20 정상회의 업무만찬에서    이같이 밝히고, ""국제 공조를 통해서만 세계 경제가 지속적으로 발전할 수 있다는 것을 모두에게 이해시키자""고 밝혔다. 또한 이 대통령은    """,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(정치토론방) 서울정상회의 한걸음 더 나간 합의(펌),"서울정상회의한걸음더나간합의(펌)삐노끼오(leese****)10.11.1512:20 이명박 대통령은 11일 ""서울 주요 20개국(G20) 정상회의에서 국제 공조를    위해 한 걸음 더 나간 구체적인 계획과 합의를 이끌자""고 말했다. 이 대통령은 이날 용산 국립중앙박물관에서 열린 G20 정상회의 업무만찬에서    이같이 밝히고, ""국제 공조를 통해서만 세계 경제가 지속적으로 발전할 수 있다는 것을 모두에게 이해시키자""고 밝혔다. 또한 이 대통령은    """,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(경제토론방) 서울정상회의 한걸음 더 나간 합의(펌),"서울정상회의한걸음더나간합의(펌)삐노끼오(leese****)10.11.1512:20 이명박 대통령은 11일 ""서울 주요 20개국(G20) 정상회의에서 국제 공조를    위해 한 걸음 더 나간 구체적인 계획과 합의를 이끌자""고 말했다. 이 대통령은 이날 용산 국립중앙박물관에서 열린 G20 정상회의 업무만찬에서    이같이 밝히고, ""국제 공조를 통해서만 세계 경제가 지속적으로 발전할 수 있다는 것을 모두에게 이해시키자""고 밝혔다. 또한 이 대통령은    """,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(사회토론방) 서울정상회의 한걸음 더 나간 합의(펌),"서울정상회의한걸음더나간합의(펌)삐노끼오(leese****)10.11.1512:20 이명박 대통령은 11일 ""서울 주요 20개국(G20) 정상회의에서 국제 공조를    위해 한 걸음 더 나간 구체적인 계획과 합의를 이끌자""고 말했다. 이 대통령은 이날 용산 국립중앙박물관에서 열린 G20 정상회의 업무만찬에서    이같이 밝히고, ""국제 공조를 통해서만 세계 경제가 지속적으로 발전할 수 있다는 것을 모두에게 이해시키자""고 밝혔다. 또한 이 대통령은    """,G20,G20-이명박대통령지지
20101115,201011,2010,다음아고라,(교육토론방) 서울정상회의 한걸음 더 나간 합의(펌),"서울정상회의한걸음더나간합의(펌)삐노끼오(leese****)10.11.1512:20 이명박 대통령은 11일 ""서울 주요 20개국(G20) 정상회의에서 국제 공조를    위해 한 걸음 더 나간 구체적인 계획과 합의를 이끌자""고 말했다. 이 대통령은 이날 용산 국립중앙박물관에서 열린 G20 정상회의 업무만찬에서    이같이 밝히고, ""국제 공조를 통해서만 세계 경제가 지속적으로 발전할 수 있다는 것을 모두에게 이해시키자""고 밝혔다. 또한 이 대통령은    """,G20,G20-이명박대통령지지
20101116,201011,2010,다음아고라,(자유토론방) G20시민들의노력이제일컷다.(펌),"G20   시민들의 노력이 제일 컷다.(펌) 삐노끼오(leese****) 10.11.1615:01 이명박 대통령은 14일 서울   G20(주요 20개국)정상회의 기간 시민들이 행사 성공을 위해 노력한 것과 관련해 ""이번 행사 성공의 최고 점수는 시민 의식에 주고 싶다""고 말했다. 제18차 APEC(아.태경제협력체) 정상회의 참석차 일본 요코하마(横浜)를 방문중인 이 대통령은 이날 회의장인 인터컨티넨털   호텔에서 G20 행사 관련 사후보고를 받고 이같이",G20,G20-이명박대통령지지
20101116,201011,2010,다음아고라,(정치토론방) G20시민들의노력이제일컷다.(펌),"G20   시민들의 노력이 제일 컷다.(펌) 삐노끼오(leese****) 10.11.1615:01 이명박 대통령은 14일 서울   G20(주요 20개국)정상회의 기간 시민들이 행사 성공을 위해 노력한 것과 관련해 ""이번 행사 성공의 최고 점수는 시민 의식에 주고 싶다""고 말했다. 제18차 APEC(아.태경제협력체) 정상회의 참석차 일본 요코하마(横浜)를 방문중인 이 대통령은 이날 회의장인 인터컨티넨털   호텔에서 G20 행사 관련 사후보고를 받고 이같이",G20,G20-이명박대통령지지
